restaurant_id,restaurant_key,restaurant_name,category,location,address,price_range,overall_rating,review_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,reviewer_name,source,source_restaurant_id,aspect_sentiments,aspect_mentions,price_level,price_band,category_primary,review_text_normalized,restaurant_name_normalized,category_normalized,review_language,word_count,char_count,avg_word_length,sentiment_comida,sentiment_comida_score,sentiment_servicio,sentiment_servicio_score,sentiment_precio,sentiment_precio_score,sentiment_ambiente,sentiment_ambiente_score,mentions_comida,mentions_servicio,mentions_precio,mentions_ambiente,cluster,cluster_name
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood Causeway,"Mariscos, Mediterránea",Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,4.0,4.4,4.5,4.6,excelente opción para grupos. hacen quedar muy bien ejecutados cada plato buena variedad y el clima es muy agradable. Buena atención,2026-07-12,Ambar A.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': False}",3.0,$$$ ($25-$35),Mariscos,excelente opcion grupos. hacen quedar bien ejecutados cada plato buena variedad clima agradable. buena atencion,la fisheria seafood causeway,"mariscos, mediterranea",spanish,21,132,5.333333333333333,positive,1.0,positive,1.0,neutral,0.0,neutral,0.0,True,True,False,False,2,Destacan por la comida
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood Causeway,"Mariscos, Mediterránea",Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,5.0,4.4,4.5,4.6,Como siempre la comida es muy buena. Lo más recomendado es pedir los platos con marisco. Al ser fin de semana de día del padre el lugar estaba lleno por lo que el servicio no fue malo pero si las mesas no eran atendidas con la eficiencia acostumbrada.,2026-07-11,Arleides C.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}",3.0,$$$ ($25-$35),Mariscos,siempre comida buena. mas recomendado pedir platos marisco. ser fin semana dia padre lugar lleno servicio malo si mesas atendidas eficiencia acostumbrada.,la fisheria seafood causeway,"mariscos, mediterranea",spanish,48,251,4.25,positive,1.0,positive,1.0,neutral,0.0,neutral,0.0,True,True,False,True,2,Destacan por la comida
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood Causeway,"Mariscos, Mediterránea",Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,5.0,4.4,4.5,4.6,"impresionados gratamente, un ambiente con brisa de mar, atención esmerada, y rápida la comida muy buena, la Picada del Mar deliciosa, los vinos también.",2026-07-06,Ina A.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}",3.0,$$$ ($25-$35),Mariscos,"impresionados gratamente, ambiente brisa mar, atencion esmerada, rapida comida buena, picada mar deliciosa, vinos tambien.",la fisheria seafood causeway,"mariscos, mediterranea",spanish,24,152,5.375,positive,1.0,neutral,0.0,neutral,0.0,neutral,0.0,True,True,False,True,2,Destacan por la comida
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood Causeway,"Mariscos, Mediterránea",Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,4.0,4.4,4.5,4.6,"muy lindas vistas atención buena , la comida bien sin grandes pretensiones , pedí un carpacho de salmón y atún , creo que le faltaba limón aceite de oliva pimienta , tenía una salsa de maracuyá que no es mi favorita . disfrutamos las vistas y la buena atención .",2026-06-22,Cima Sol R.,degusta,dg_107701,"{'comida': 'neutral', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'negative'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}",3.0,$$$ ($25-$35),Mariscos,"lindas vistas atencion buena , comida bien grandes pretensiones , pedi carpacho salmon atun , creo faltaba limon aceite oliva pimienta , tenia salsa maracuya favorita . disfrutamos vistas buena atencion .",la fisheria seafood causeway,"mariscos, mediterranea",spanish,50,262,4.26,neutral,0.0,positive,1.0,neutral,0.0,negative,-1.0,True,True,False,True,2,Destacan por la comida
r_6816362b5c,la fisheria seafood causeway,La Fisheria Seafood Causeway,"Mariscos, Mediterránea",Causeway,"Isla Flamenco, Causeway Amador  - Causeway",Desde $25 hasta $35,4.4,5.0,4.4,4.5,4.6,"la comida es deliciosa, y los tamaños son muy generosos. pedimos luinguini de pesto y langostinos y que delicia. el ambiente y la amabilidad de todos es muy buena también. Estela fue nuestra mesera, y nos atendió con la mejor energía y todo el conocimiento sobre la carta y las posibilidades de platos. muy rico",2026-06-20,Juan J.,degusta,dg_107701,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}",3.0,$$$ ($25-$35),Mariscos,"comida deliciosa, tamanos generosos. pedimos luinguini pesto langostinos delicia. ambiente amabilidad buena tambien. estela mesera, atendio mejor energia conocimiento carta posibilidades platos. rico",la fisheria seafood causeway,"mariscos, mediterranea",spanish,55,311,4.672727272727273,positive,1.0,positive,1.0,neutral,0.0,neutral,0.0,True,True,False,True,2,Destacan por la comida
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,todo lindo y la comida muy rica y buenas porciones. los postres son deliciosos me encantan todos . recomendable para que vayan,2026-07-16,Fabiola D.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': False, 'ambiente': False}",4.0,$$$$ (mas de $35),De Autor,lindo comida rica buenas porciones. postres deliciosos encantan . recomendable vayan,popino,de autor,spanish,22,126,4.7727272727272725,positive,1.0,neutral,0.0,neutral,0.0,neutral,0.0,True,False,False,False,2,Destacan por la comida
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,"El ambiente es moderno, elegante y muy acogedor. La atención fue excelente desde el momento en que llegamos, siempre atentos y amables. La comida destacó por su presentación, la calidad de los ingredientes y el sabor de cada plato.",2026-07-08,Kevin N.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'positive', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}",4.0,$$$$ (mas de $35),De Autor,"ambiente moderno, elegante acogedor. atencion excelente momento llegamos, siempre atentos amables. comida destaco presentacion, calidad ingredientes sabor cada plato.",popino,de autor,spanish,39,231,4.948717948717949,positive,1.0,positive,1.0,neutral,0.0,positive,1.0,True,True,False,True,2,Destacan por la comida
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,Muy buen ambiente no te apresuran con la comida la carne estaba muy bien y el postre delicioso una pavlova con frutos rojos.,2026-07-08,Carlos M.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': False, 'ambiente': True}",4.0,$$$$ (mas de $35),De Autor,buen ambiente apresuran comida carne bien postre delicioso pavlova frutos rojos.,popino,de autor,spanish,23,124,4.434782608695652,positive,1.0,neutral,0.0,neutral,0.0,neutral,0.0,True,False,False,True,2,Destacan por la comida
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,4.0,4.7,4.7,4.7,"muy rico todo, el pulpo fue mi favorito. el postre aunque hermoso no destacó lo suficiente versus precio, fue el 3 leches.",2026-07-07,Lanlai C.,degusta,dg_108945,"{'comida': 'positive', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'neutral'}","{'comida': True, 'servicio': False, 'precio': True, 'ambiente': False}",4.0,$$$$ (mas de $35),De Autor,"rico todo, pulpo favorito. postre aunque hermoso destaco suficiente versus precio, 3 leches.",popino,de autor,spanish,22,122,4.590909090909091,positive,1.0,neutral,0.0,neutral,0.0,neutral,0.0,True,False,True,False,2,Destacan por la comida
r_6f73ddb6f5,popino,Popino,De Autor,Paitilla,Wanders and Yoo - Paitilla,Más de $35,4.7,5.0,4.7,4.7,4.7,"La comida es riquísima, con platos bien presentados, sabores diferentes y una propuesta súper cuidada. El ambiente es lindo, acogedor y con muy buen servicio. Es un lugar donde se pasa rico, se come bien y la experiencia completa se siente especial",2026-07-07,Michelle O.,degusta,dg_108945,"{'comida': 'neutral', 'servicio': 'neutral', 'precio': 'neutral', 'ambiente': 'positive'}","{'comida': True, 'servicio': True, 'precio': False, 'ambiente': True}",4.0,$$$$ (mas de $35),De Autor,"comida riquisima, platos bien presentados, sabores diferentes propuesta super cuidada. ambiente lindo, acogedor buen servicio. lugar pasa rico, come bien experiencia completa especial",popino,de autor,spanish,42,248,4.928571428571429,neutral,0.0,neutral,0.0,neutral,0.0,positive,1.0,True,True,False,True,2,Destacan por la comida
